evidence_register_id,exception_id,customer_id,customer_name,contract_id,product_name,certificate_id,control_id,control_type,severity,evidence_source,source_file,source_quality_score,exception_owner,remediation_action,target_resolution_date,customer_claim_impact,fmd_impact,status,issue,methodology_note
ER-0001,EX-0001,,,,,,RC-001,Missing certificate ID,High,Representative demo REGO ledger,,40,Renewables Operations,Obtain the missing certificate reference before relying on the record.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Certificate record is missing its certificate ID.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0002,EX-0002,CUS-001,Corporate Buyer A,C-001,Wind-backed renewable electricity,REG-DUP-0001,RC-002,Duplicate certificate ID,High,Representative demo REGO ledger,synthetic_rego_ledger.csv,65,Renewables Operations,Investigate duplicate certificate records and remove any double-counted allocation.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Certificate ID appears more than once in the ledger.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0003,EX-0003,CUS-001,Corporate Buyer A,C-001,Wind-backed renewable electricity,REG-DUP-0001,RC-002,Duplicate certificate ID,High,Representative demo REGO ledger,synthetic_rego_ledger.csv,65,Renewables Operations,Investigate duplicate certificate records and remove any double-counted allocation.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Certificate ID appears more than once in the ledger.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0004,EX-0004,CUS-002,Corporate Buyer B,C-002,Solar-backed renewable electricity,REG-BAD-0001,RC-004,Impossible lifecycle date,High,Representative demo REGO ledger,synthetic_rego_ledger.csv,65,Renewables Operations,Correct lifecycle dates or replace the certificate evidence.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Retirement date is before the certificate issue date.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0005,EX-0006,,,C-999,,REG-BAD-0003,RC-006,Invalid contract ID,High,Representative demo REGO ledger,synthetic_rego_ledger.csv,65,Renewables Operations,Confirm the contract master record before treating the allocation as valid.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Certificate allocation references a contract that is not in the contract file.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0006,EX-0008,CUS-001,Corporate Buyer A,C-001,Wind-backed renewable electricity,REG-BAD-0005,RC-009,Vintage outside delivery period,High,Representative demo REGO ledger,synthetic_rego_ledger.csv,65,Renewables Operations,Replace with certificates generated inside the contract delivery period.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Certificate generation period is outside the contract delivery period.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0007,EX-0016,CUS-001,Corporate Buyer A,C-001,Wind-backed renewable electricity,,RC-015,Contract shortfall,High,Representative demo REGO ledger,,40,Renewables Operations,Procure or reallocate eligible REGOs to cover the contract shortfall.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Contract C-001 has an eligible REGO shortfall of 150 MWh.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0008,EX-0017,CUS-002,Corporate Buyer B,C-002,Solar-backed renewable electricity,,RC-015,Contract shortfall,High,Representative demo REGO ledger,,40,Renewables Operations,Procure or reallocate eligible REGOs to cover the contract shortfall.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Contract C-002 has an eligible REGO shortfall of 750 MWh.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0009,EX-0012,CUS-003,FMD Pool,C-003,Standard renewable allocation,REG-BAD-0009,RC-016,Missing generation date,High,Representative demo REGO ledger,synthetic_rego_ledger.csv,65,FMD Reporting,Request usable generation-period dates or replace the evidence.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Allocated certificate is missing a usable generation period.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
ER-0010,EX-0013,CUS-003,FMD Pool,C-003,Standard renewable allocation,REG-BAD-0010,RC-017,Missing issue date,High,Representative demo REGO ledger,synthetic_rego_ledger.csv,65,FMD Reporting,Request issue-date evidence from the registry/export source.,2025-09-15,Customer-impacting,FMD-impacting,Open - action required,Allocated certificate is missing a usable issue date.,"The evidence register translates certificate/control exceptions into owner, impact, and remediation fields. It is an operating workflow aid, not legal or compliance sign-off."
